OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
1;200020;200020;ΙΚΑ;Επί της ΛΕΩΦ.ΣΤΡΧΟΥ ΠΑΠΑΓΟΥ;Όχι;Όχι;Καλή;Ναι;Ναι;Μέτρια;
2;200028;200028;ΠΛΑΤΕΙΑ ΠΑΙΔΩΝ;Επί της ΛΟΧΑΓΟΥ ΣΠΗΛΙΩΤΟΠΟΥΛΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
3;200029;200029;ΙΚΑ;Επί της ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;Στοά, χωρίς στέγαστρο;Όχι;Κακή;Όχι;Όχι;Κακή;
4;200030;200030;ΓΙΑΝΝΟΠΟΥΛΟΥ;Επί της ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Ναι;Όχι;Μέτρια;
5;200031;200031;ΑΓ.ΘΩΜΑΣ;Επί της ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;Στοά, χωρίς στέγαστρο;Όχι;Κακή;Όχι;Ναι;Μέτρια;
6;200032;200032;ΝΟΣ.ΠΑΙΔΩΝ;Επί της ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
7;200038;200038;2η ΙΛΙΣΙΩΝ;Επί της ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
8;200052;200052;ΑΛΕΞ;Επί της ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Ναι;Ναι;Μέτρια;
9;200053;200053;ΦΟΙΤΗΤ.ΕΣΤΙΑ;Επί της ΟΥΛΩΦ ΠΑΛΜΕ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
10;200054;200054;ΦΟΙΤΗΤ.ΕΣΤΙΑ;Επί της ΟΥΛΩΦ ΠΑΛΜΕ;Ναι, κακή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
11;200080;200080;ΠΟΛΥΤΕΧΝΕΙΟΥΠΟΛΗ;Επί της ΚΟΚΚΙΝΟΠΟΥΛΟΥ;Ναι, κακή κατάσταση;Όχι;Καλή;Όχι;Όχι;Μέτρια;
12;200083;200083;ΠΟΛΥΤΕΧΝΕΙΟΥΠΟΛΗ;Επί της ΚΟΚΚΙΝΟΠΟΥΛΟΥ;Όχι;Όχι;Καλή;Όχι;Ναι;Κακή;
13;230025;230025;2η ΣΧΟΛΕΙΟ;Επί της ΕΥΦΡΟΝΙΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Ναι;Όχι;Μέτρια;
14;230027;230027;7η ΦΟΡΜΙΩΝΟΣ;Επί της ΦΟΡΜΙΩΝΟΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
15;230029;230029;ΕΥΦΡΟΝΙΟΥ;Επί της ΕΥΦΡΟΝΙΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
16;230031;230031;ΔΗΜΑΡΧΕΙΟ;Επί της ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Ναι;Όχι;Μέτρια;
17;240001;240001;ΠΑΝΤΕΙΟΣ;Επί της ΛΕΩΦ.ΣΥΓΓΡΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
18;240002;240002;ΑΓ.ΣΩΣΤΗΣ;Επί της ΛΕΩΦ.ΣΥΓΓΡΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
19;60710;60710;ΟΤΕ;Επί της ΜΙΚΡΑΣ ΑΣΙΑΣ;Όχι;Όχι;Καλή;Ναι;Όχι;Μέτρια;
20;50058;50058;ΑΓ.ΠΑΝΤΕΛΕΗΜΟΝΑ;Επί της ΕΘΝΙΚΗ ΟΔΟΣ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Μέτρια;
21;60001;60001;ΑΦΕΤΗΡΙΑ;Επί της ΠΑΡΑΔΡΟΜΟ ΜΕΣΟΓΕΙΩΝ;;;;;;;
22;60002;60002;ΠΛ.ΣΥΝΤΑΓΜΑΤΟΣ;Επί της ΛΕΩΦ.ΒΑΣ.ΑΜΑΛΙΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
23;60003;60003;ΠΛ.ΣΥΝΤΑΓΜΑΤΟΣ;Επί της ΛΕΩΦ.ΒΑΣ.ΑΜΑΛΙΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
24;60004;60004;ΣΤ.ΣΕΠΟΛΙΩΝ;Επί της ΑΝΤΙΓΟΝΗΣ;;;;;;;Ναι
25;60005;60005;ΣΤ.ΑΚΡΟΠΟΛΗ;Επί της ΣΤΡΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ;;;;;;;Ναι
26;60006;60006;ΔΟΜΟΚΟΥ;Επί της ΔΟΜΟΚΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Κακή;
27;60007;60007;ΣΤ.ΣΥΓΓΡΟΥ-ΦΙΞ;Επί της ΛΕΩΦ.ΣΥΓΓΡΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
28;60008;60008;ΖΩΟΔ.ΠΗΓΗΣ;Επί της ΑΚΑΔΗΜΙΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
29;60009;60009;ΑΓ.ΒΑΡΒΑΡΑ;Επί της ΑΓ.ΛΑΥΡΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
30;60010;60010;ΝΑΥΑΡΙΝΟΥ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Κακή;
31;60011;60011;ΑΡΑΧΩΒΗΣ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Ναι;Μέτρια;
32;60012;60012;ΚΑΛΛΙΔΡΟΜΙΟΥ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
33;60013;60013;ΤΣΙΜΙΣΚΗ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Κακή;
34;60014;60014;ΛΑΣΚΑΡΕΩΣ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
35;60015;60015;ΚΡΙΕΖΩΤΟΥ;Επί της ΠΑΝΕΠΙΣΤΗΜΙΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
36;60016;60016;ΣΤ.ΝΕΟΣ ΚΟΣΜΟΣ;Επί της ΠΛ.ΚΑΡΑΙΣΚΑΚΗ;;;;;;;Ναι
37;60017;60017;ΑΓ.ΕΛΕΥΘΕΡΙΟΣ;Επί της ΜΟΜΦΕΡΑΤΟΥ;Όχι;Όχι;Καλή;Ναι;Όχι;Καλή;
38;60018;60018;ΜΟΜΦΕΡΑΤΟΥ;Επί της ΜΟΜΦΕΡΑΤΟΥ;Όχι;Όχι;Καλή;Ναι;Όχι;Κακή;
39;60019;60019;ΣΚΑΛΑΚΙΑ;Επί της ΓΚΥΖΗ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
40;60020;60020;ΤΕΡΜΑ;Επί της ΠΛ.ΓΚΥΖΗ;Ναι, κακή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Όχι;Μέτρια;
41;60021;60021;ΣΚΑΛΑΚΙΑ;Επί της ΓΚΥΖΗ;;;;;;;
42;60022;60022;ΜΟΜΦΕΡΑΤΟΥ;Επί της ΓΚΥΖΗ;Ναι, καλή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Μέτρια;
43;60023;60023;ΠΑΡΑΣΧΟΥ;Επί της ΓΚΥΖΗ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
44;60024;60024;ΙΠΠΟΚΡΑΤΟΥΣ(ΑΦΕΤΗΡΙΑ);Επί της ΙΠΠΟΚΡΑΤΟΥΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Ναι;Μέτρια;
45;60025;60025;ΑΦΕΤΗΡΙΑ;Επί της ΟΘΩΝΟΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
46;60026;60026;ΣΤ.ΑΓ.ΙΩΑΝΝΗΣ;Επί της ΑΜΒΡ.ΦΡΑΝΤΖΗ;;;;;;;Ναι
47;60027;60027;ΣΤ.ΛΑΡΙΣΗΣ;Επί της ΔΗΛΗΓΙΑΝΝΗ;Ναι, καλή κατάσταση;Όχι;Καλή;Όχι;Όχι;Καλή;
48;60028;60028;ΑΓ.ΠΑΥΛΟΣ;Επί της ΔΗΛΗΓΙΑΝΝΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Κακή;
49;60029;60029;ΣΤ.ΚΕΡΑΜΕΙΚΟΥ;Επί της ΑΓΝΩΣΤΗ ΠΛΑΤΕΙΑ;;;;;;;Ναι
50;60030;60030;ΖΩΟΔΟΧΟΣ ΠΗΓΗ;Επί της ΣΟΛΩΝΟΣ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Όχι;Ναι;Κακή;
51;60031;60031;ΜΠΟΤΑΣΗ;Επί της ΣΟΛΩΝΟΣ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Όχι;Ναι;Κακή;
52;60032;60032;ΑΦΕΤΗΡΙΑ;Επί της ΒΑΣ.ΗΡΑΚΛΕΙΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
53;60033;60033;ΠΟΛΥΤΕΧΝΕΙΟ;Επί της ΜΠΟΥΜΠΟΥΛΙΝΑΣ;Όχι;Όχι;Καλή;Ναι;Όχι;Μέτρια;
