code;name;dk;x;y;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Ράμπες;Ράμπες;Ράμπες;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων
code;name;dk;x;y;Κατάσταση κτηρίων Δεν υπάρχουν κτήρια;Κατάσταση κτηρίων Κακή;Κατάσταση κτηρίων Μέτρια;Κατάσταση κτηρίων Καλή;Κυριαρχία κατοικίας Όχι;Κυριαρχία κατοικίας Ναι;Κυριαρχία εμπορικών χρήσεων Όχι;Κυριαρχία εμπορικών χρήσεων Ναι 30% 60% των πλευρών ΟΤ;Κυριαρχία εμπορικών χρήσεων Ναι 60% 100% των πλευρών ΟΤ;Κυριαρχία εστίασης αναψυχής Όχι;Κυριαρχία εστίασης αναψυχής Ναι;Δεν Υπάρχει Πεζοδρόμιο;Πεζοδρόμιο Σταθερό Πλάτος;Πεζοδρόμιο Μεταβαλλόμενο Πλάτος;Πλάτος πεζοδρομίου έως 1 μ.;Πλάτος πεζοδρομίου 1 μ. έως 2 μ.;Πλάτος πεζοδρομίου πανω απο 2 μ.;Κατάσταση πεζοδρομίου Κακή;Κατάσταση πεζοδρομίου Μέτρια;Κατάσταση πεζοδρομίου Καλή;Όδευση τυφλών Όχι;Όδευση τυφλών Σε όλο το μήκος;Όδευση τυφλών Σε τμήμα της πλευράς;Εμπόδια Καταλήψεις από δενδροστοιχίες;Εμπόδια Εξοχές κτηρίων;Εμπόδια Περίπτερα;Εμπόδια Πάγκοι καταστημάτων;Εμπόδια Καταλήψεις από επίπλωση δρόμου;Εμπόδια Κατασκευαστικές ανωμαλίες πεζοδρομίου;Εμπόδια Στενώσεις από τραπεζοκαθίσματα και πετάσματα;Εμπόδια Στύλοι σήμανσης, φωτισμού, φαναριών κολωνάκια κικλιδώματα;Εμπόδια ΚΑΦΑΟ ΟΤΕ, ΔΕΗ;Εμπόδια Αντικείμενα ιδιωτών;Εμπόδια Στάσεις ΜΜΜ;Εμπόδια Υψομετρικές διαφορές;Εμπόδια σκαλοπάτια κτηρίων;Μέσος όρος από Στοά (%);Μέσος όρος από Παρτέρια (%);Μέσος όρος από Δέντρα (Αριθμός);Μέσος όρος από Κολωνάκια ή/και Κιγκλιδώματα (%);Μέσος όρος από Μέσο Πλάτος Δρόμου (σε μ.);Πεζόδρομος;Σκάλες;Μονόδρομος;Αμδίφρομος;Διαμόρφωση δρόμου ήπιας κυκλοφορίας;Χωματόδρομος;Δρόμος με 1 λωρίδα κυκλοφορίας & στάθμευση δεξιά/αριστερά;Δρόμος με 1 λωρίδα κυκλοφορίας & στάθμευση στη μια πλευρά μόνο;Δρόμος με 1 λωρίδα κυκλοφορίας ΧΩΡΙΣ στάθμευση;Δρόμος με 2 λωρίδες κυκλοφορίας & στάθμευση δεξιά/αριστερά;Δρόμος με 2 λωρίδες κυκλοφορίας & στάθμευση στη μια πλευρά μόνο;Δρόμος με 2 λωρίδες κυκλοφορίας ΧΩΡΙΣ στάθμευση;Δρόμος με >3 λωρίδες κυκλοφορίας & στάθμευση δεξιά/αριστερά;Δρόμος με >3 λωρίδες κυκλοφορίας & στάθμευση στη μια πλευρά μόνο;Δρόμος με >3 λωρίδες κυκλοφορίας ΧΩΡΙΣ στάθμευση;Κατάσταση Ράμπας Κακή;Κατάσταση Ράμπας Καλή;Ελιγμός Αμαξιδίου Ναι;Λευκή διαγράμμιση Όχι;Λευκή διαγράμμιση Ναι εμφανής;Λευκή διαγράμμιση Ναι φθορές;Ράμπες ΑμεΑ Όχι σε καμία άκρη;Ράμπες ΑμεΑ Ναι στη μια άκρη;Ράμπες ΑμεΑ Ναι στις δυο άκρες;Υπάρχει Στέγαστρο?  Όχι;Υπάρχει Στέγαστρο?  Ναι κακή κατάσταση;Υπάρχει Στέγαστρο?  Ναι καλή κατάσταση;Υπάρχει Στέγαστρο? Στάση σε Στοά χωρίς στέγαστρο;Υπάρχει κάθισμα? Όχι;Υπάρχει κάθισμα?  Ναι κακή κατάσταση;Υπάρχει κάθισμα?  Ναι καλή κατάσταση;Ορατότητα κακή;Ορατότητα καλή;Εξοχή πεζοδρομίου Όχι;Εξοχή πεζοδρομίου Ναι;Τηλεματική Όχι;Τηλεματική Ναι;Καθαριότητα κακή;Καθαριότητα μέτρια;Καθαριότητα καλή
139;Α  ΝΕΚΡΟΤΑΦΕΙΟ;2η ΔΚ;23738;37963;0.87;0.02;0.11;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.03;0.76;0.21;0.21;0.29;0.47;0.17;0.48;0.14;0.92;0.08;0.00;0.04;0.00;0.00;0.00;0.00;0.01;0.00;0.27;0.00;0.04;0.00;0.05;0.04;0.00;55.00;23.11;52.59;8.17;0.07;0.02;0.42;0.50;0.00;0.02;0.40;0.13;0.01;0.09;0.00;0.09;0.00;0.00;0.19;0.08;0.92;1.00;0.66;0.00;0.12;0.70;0.00;0.08;0.40;0.00;0.60;0.00;0.50;0.50;0.00;0.20;0.80;1.00;0.00;1.00;0.00;0.00;0.57;0.43
70;ΑΒΕΡΩΦ Ι;7η ΔΚ;23755;37991;0.07;0.39;0.37;0.18;0.34;0.66;0.99;0.01;0.00;0.98;0.02;0.07;0.59;0.34;0.59;0.13;0.22;0.74;0.06;0.14;0.92;0.08;0.00;0.18;0.07;0.01;0.00;0.00;0.19;0.00;0.49;0.05;0.04;0.01;0.30;0.27;0.00;4.73;2.42;8.15;8.98;0.04;0.03;0.48;0.45;0.01;0.02;0.42;0.17;0.01;0.00;0.01;0.01;0.02;0.00;0.24;0.06;0.94;0.85;0.83;0.02;0.05;0.82;0.03;0.04;0.25;0.00;0.75;0.00;0.25;0.00;0.75;0.09;0.91;1.00;0.00;0.50;0.50;0.00;0.40;0.60
134;ΑΒΕΡΩΦ ΙΙ;7η ΔΚ;23758;37991;0.02;0.50;0.35;0.12;0.17;0.81;0.86;0.10;0.03;0.98;0.01;0.03;0.61;0.35;0.61;0.15;0.20;0.75;0.13;0.08;0.97;0.02;0.00;0.29;0.10;0.01;0.01;0.00;0.16;0.00;0.53;0.06;0.06;0.01;0.21;0.34;0.75;1.99;2.55;17.66;8.97;0.02;0.02;0.34;0.63;0.01;0.00;0.43;0.21;0.00;0.04;0.12;0.01;0.00;0.01;0.14;0.21;0.79;0.94;0.87;0.04;0.04;0.80;0.02;0.12;0.18;0.00;0.82;0.00;0.18;0.00;0.82;0.11;0.89;0.43;0.57;0.67;0.33;0.00;0.00;1.00
142;ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ;3η ΔΚ;23707;37.97;0.06;0.16;0.68;0.10;0.41;0.59;0.86;0.12;0.02;0.99;0.01;0.00;0.53;0.47;0.31;0.52;0.17;0.52;0.31;0.16;0.87;0.09;0.04;0.21;0.08;0.01;0.01;0.00;0.21;0.00;0.38;0.08;0.02;0.00;0.04;0.31;0.00;4.01;2.28;10.67;9.98;0.08;0.00;0.40;0.53;0.01;0.00;0.52;0.12;0.00;0.14;0.00;0.07;0.00;0.00;0.07;0.11;0.84;0.96;0.84;0.01;0.07;0.43;0.23;0.26;0.40;0.20;0.00;0.40;0.63;0.00;0.38;0.09;0.91;0.50;0.50;1.00;0.00;0.17;0.33;0.50
124;ΑΓΙΑ ΒΑΡΒΑΡΑ;5η ΔΚ;23738;38023;0.06;0.22;0.64;0.05;0.39;0.59;0.78;0.07;0.13;0.95;0.02;0.02;0.56;0.39;0.20;0.37;0.38;0.31;0.28;0.36;0.79;0.16;0.03;0.30;0.05;0.01;0.01;0.00;0.34;0.00;0.39;0.08;0.10;0.00;0.10;0.21;0.00;6.28;4.69;7.55;7.18;0.11;0.00;0.45;0.44;0.00;0.00;0.46;0.11;0.01;0.17;0.00;0.06;0.08;0.00;0.00;0.03;0.97;0.98;0.81;0.01;0.17;0.31;0.09;0.53;0.18;0.00;0.82;0.00;0.18;0.00;0.82;0.00;1.00;1.00;0.00;0.43;0.57;0.00;0.50;0.50
46;ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ;5η ΔΚ;23732;38014;0.02;0.64;0.30;0.04;0.21;0.79;0.90;0.07;0.03;0.98;0.02;0.00;0.72;0.28;0.61;0.27;0.11;0.81;0.09;0.09;0.95;0.05;0.01;0.16;0.23;0.00;0.02;0.00;0.68;0.00;0.64;0.32;0.22;0.00;0.10;0.39;4.55;6.42;1.74;17.59;6.63;0.04;0.00;0.21;0.74;0.00;0.00;0.36;0.43;0.00;0.05;0.02;0.02;0.06;0.00;0.01;0.05;0.95;1.00;0.92;0.01;0.07;0.65;0.05;0.27;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00
89;ΑΓΙΑ ΤΡΙΑΔΑ;6η ΔΚ;23729;38006;0.00;0.81;0.18;0.01;0.11;0.88;0.81;0.08;0.10;0.97;0.02;0.00;0.89;0.11;0.35;0.48;0.16;0.71;0.05;0.23;0.87;0.10;0.03;0.35;0.37;0.00;0.00;0.00;0.58;0.00;0.50;0.34;0.18;0.00;0.12;0.38;0.00;1.35;3.84;15.14;7.84;0.04;0.00;0.13;0.83;0.00;0.00;0.65;0.21;0.02;0.00;0.00;0.00;0.08;0.00;0.00;0.01;0.99;0.93;0.96;0.00;0.00;0.48;0.02;0.44;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.33;0.67;1.00;0.00;0.00
109;ΑΓΙΑΣ ΖΩΝΗ;6η ΔΚ;23738;38006;0.01;0.59;0.40;0.01;0.18;0.82;0.87;0.09;0.04;0.99;0.01;0.01;0.68;0.31;0.47;0.37;0.15;0.73;0.14;0.12;0.94;0.06;0.00;0.20;0.28;0.00;0.00;0.00;0.55;0.00;0.47;0.23;0.24;0.00;0.21;0.39;6.76;3.94;2.56;10.39;7.95;0.04;0.00;0.16;0.80;0.00;0.00;0.69;0.16;0.01;0.04;0.00;0.00;0.00;0.01;0.04;0.13;0.87;0.82;0.98;0.01;0.00;0.62;0.08;0.25;0.00;0.00;0.43;0.57;0.29;0.29;0.43;0.00;1.00;0.33;0.67;0.00;1.00;0.00;0.18;0.82
111;ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ;6η ΔΚ;23747;38006;0.02;0.32;0.45;0.20;0.29;0.71;0.76;0.12;0.12;1.00;0.00;0.02;0.80;0.17;0.47;0.31;0.20;0.56;0.36;0.05;0.99;0.01;0.00;0.36;0.23;0.05;0.01;0.09;0.47;0.04;0.76;0.44;0.20;0.02;0.31;0.48;0.20;5.86;2.68;5.63;8.30;0.05;0.02;0.29;0.64;0.05;0.00;0.58;0.20;0.00;0.09;0.00;0.01;0.00;0.00;0.00;0.25;0.75;0.67;0.89;0.03;0.01;0.92;0.01;0.01;0.73;0.00;0.27;0.00;0.73;0.00;0.27;0.00;1.00;0.80;0.20;0.80;0.20;0.05;0.38;0.57
